AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Always ,Often ,Often,Always ,Always ,Significantly ,tiktok,Always ,Moderately ,6,6,7,6.333333333333333,3
25–34,Male ,Less than 1 hour ,Rarely ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Often,Often ,Often ,Significantly ,youtube,Often ,Significantly ,6,6,7,6.333333333333333,4
Below 18,Female ,More than 3 hours ,Sometimes ,Moderately ,Always,Often ,Significantly,Slightly ,Often ,Sometimes ,Often ,Always,Often ,Often ,Significantly ,tiktok,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Moderately ,Sometimes ,Often ,Often ,Always,Often ,Often ,Significantly ,youtube,Sometimes ,Moderately ,6,8,7,7.0,3
18–24,Female ,1–3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Rarely ,Rarely ,Sometimes,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,2,4,3,3.0,3
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Always ,Moderately ,Often,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Moderately ,instagram,Often ,Moderately ,6,8,7,7.0,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Always ,Often ,Often,Always ,Always ,Significantly ,tiktok,Often ,Moderately ,8,6,7,7.0,3
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Sometimes ,Often ,Often ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Significantly,Moderately ,Always ,Often ,Always ,Always,Often ,Always ,Significantly ,twitter,Often ,Moderately ,6,8,7,7.0,3
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,4,2,3,3.0,3
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,4,3,3.0,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Significantly ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,3,2.3333333333333335,1
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Always ,Significantly ,instagram,Always ,Significantly ,8,8,7,7.666666666666667,4
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Sometimes ,Moderately,Significantly ,Often ,Often ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Moderately ,8,8,5,7.0,3
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Sometimes ,Moderately ,facebook,Often ,Significantly ,2,2,3,2.3333333333333335,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Often ,Moderately,Moderately ,Always ,Sometimes ,Often ,Often,Often ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Often ,Moderately ,youtube,Often ,Moderately ,6,4,5,5.0,3
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often,Always ,Moderately,Significantly ,Sometimes ,Always ,Often ,Often,Always ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Sometimes ,Often ,Slightly ,youtube,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Not at all,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,2,1,1.6666666666666667,2
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Not at all,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,2,4,1,2.3333333333333335,2
25–34,Female ,More than 3 hours ,Always ,Moderately ,Often,Always ,Moderately,Moderately ,Often ,Often ,Often ,Often,Always ,Rarely ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Often ,Often ,Always,Often ,Often ,Moderately ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Sometimes,Always ,Significantly,Moderately ,Often ,Always ,Often ,Always,Often ,Often ,Significantly ,snapchat,Always ,Significantly ,4,8,7,6.333333333333333,4
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Often ,Always ,Always,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
Below 18,Male ,1–3 hours ,Sometimes ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Rarely ,Rarely,Often ,Sometimes ,Slightly ,tiktok,Sometimes ,Not at all ,6,2,5,4.333333333333333,1
18–24,Male ,1–3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Significantly ,Always ,Sometimes ,Often ,Often,Often ,Sometimes ,Slightly ,instagram,Often ,Moderately ,6,6,5,5.666666666666667,3
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Slightly ,Always ,Often ,Always ,Often,Always ,Often ,Significantly ,tiktok,Often ,Significantly ,4,6,5,5.0,4
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,4,2,3,3.0,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Significantly ,6,6,5,5.666666666666667,4
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Sometimes,Always ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Significantly,Significantly ,Always ,Rarely ,Sometimes ,Rarely,Rarely ,Rarely ,Significantly ,facebook,Rarely ,Not at all ,2,2,7,3.6666666666666665,1
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Always ,Significantly,Significantly ,Always ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Significantly ,facebook,Always ,Moderately ,6,4,7,5.666666666666667,3
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Often ,Often ,Always,Always ,Always ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Significantly ,snapchat,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Always ,Often ,Significantly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Often ,Moderately,Significantly ,Always ,Always ,Always ,Often,Always ,Often ,Moderately ,tiktok,Often ,Moderately ,8,6,5,6.333333333333333,3
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Always ,Significantly,Significantly ,Often ,Always ,Often ,Often,Always ,Often ,Moderately ,facebook,Often ,Significantly ,8,6,7,7.0,4
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Sometimes ,Moderately,Significantly ,Often ,Often ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Moderately ,8,8,5,7.0,3
18–24,Male ,Less than 1 hour ,Always ,Significantly ,Always,Often ,Significantly,Moderately ,Often ,Always ,Always ,Often,Often ,Always ,Slightly ,facebook,Always ,Significantly ,8,6,7,7.0,4
Below 18,Male ,Less than 1 hour ,Sometimes ,Moderately ,Always,Often ,Not at all,Slightly ,Rarely ,Rarely ,Often ,Often,Sometimes ,Often ,Slightly ,facebook,Rarely ,Not at all ,8,6,1,5.0,1
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,linkedin,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Often ,Moderately ,tiktok,Often ,Moderately ,4,6,3,4.333333333333333,3
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,linkedin,Always ,Moderately ,6,8,5,6.333333333333333,3
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often,Often ,Significantly,Significantly ,Sometimes ,Often ,Always ,Often,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,7,6.333333333333333,3
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Often ,Significantly,Significantly ,Always ,Always ,Often ,Often,Often ,Always ,Significantly ,facebook,Often ,Significantly ,6,6,7,6.333333333333333,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Moderately ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Sometimes ,Moderately ,facebook,Often ,Significantly ,2,2,3,2.3333333333333335,4
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Often ,Slightly ,4,2,3,3.0,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Always ,Moderately,Significantly ,Always ,Always ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Often ,Significantly ,Always,Often ,Significantly,Significantly ,Sometimes ,Often ,Always ,Always,Often ,Often ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Slightly ,Always ,Often ,Always ,Often,Always ,Often ,Significantly ,tiktok,Often ,Significantly ,4,6,5,5.0,4
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,4,6,3,4.333333333333333,4
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Always,Always ,Moderately,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,tiktok,Rarely ,Moderately ,8,8,5,7.0,3
25–34,Male ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Rarely ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often,Often ,Moderately,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Sometimes ,Often ,Often ,Always,Often ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Moderately ,Sometimes ,Often ,Often ,Sometimes,Often ,Often ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Often ,Often ,Significantly ,snapchat,Often ,Moderately ,6,8,7,7.0,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,linkedin,Often ,Moderately ,6,8,7,7.0,3
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Sometimes,Always ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Rarely,Always ,Sometimes ,Significantly ,facebook,Often ,Slightly ,6,2,5,4.333333333333333,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Always ,Moderately,Significantly ,Always ,Always ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often,Often ,Significantly,Moderately ,Rarely ,Sometimes ,Often ,Often,Sometimes ,Often ,Significantly ,youtube,Sometimes ,Significantly ,6,6,7,6.333333333333333,4
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Slightly ,snapchat,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Sometimes ,Significantly ,6,8,7,7.0,4
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,4,6,3,4.333333333333333,3
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Moderately,Moderately ,Sometimes ,Often ,Often ,Sometimes,Sometimes ,Often ,Slightly ,tiktok,Often ,Moderately ,6,4,5,5.0,3
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Often,Sometimes ,Significantly,Moderately ,Often ,Always ,Often ,Sometimes,Sometimes ,Sometimes ,Significantly ,youtube,Always ,Significantly ,6,4,7,5.666666666666667,4
25–34,Female ,1–3 hours ,Often ,Significantly ,Often,Always ,Moderately,Slightly ,Always ,Often ,Always ,Always,Often ,Often ,Moderately ,facebook,Sometimes ,Moderately ,6,8,5,6.333333333333333,3
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Often ,Always,Sometimes ,Rarely ,Slightly ,instagram,Sometimes ,Slightly ,4,8,5,5.666666666666667,2
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Sometimes ,Sometimes,Sometimes ,Often ,Moderately ,youtube,Often ,Moderately ,6,4,5,5.0,3
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,instagram,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,1–3 hours ,Always ,Moderately ,Often,Often ,Significantly,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,instagram,Often ,Moderately ,6,6,7,6.333333333333333,3
25–34,Female ,1–3 hours ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,linkedin,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Often ,Sometimes ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Always ,Significantly ,4,4,3,3.6666666666666665,4
18–24,Female ,1–3 hours ,Rarely ,Moderately ,Sometimes,Sometimes ,Slightly,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Significantly ,4,4,3,3.6666666666666665,4
